direction,item,source_system,object,columns,key,timestamp,refresh,used_by,quality_risk,status,evidence
"입력","JOB_ORDER_LIST (라이브 작업풀)","Oracle TOSADM","TOSADM.JOB_ORDER_LIST","JOB_ODR_QUEUENAME/VESSEL/VOYAGE/JOBTYPE/JOBSTATUS/YT_STATUS/YTNO/ARMGC/ETW_DT/ACTV_DT/CONTNO/MSNSEQ/YT_TOPOS/TWINTANDEM/TWINKEY; CRNT_PSN_IDX_NO1; YT_TO_PSN_IDX_NO1; UPD_DT; CRE_DT; COMPDATE","업무키 (QUEUENAME, VESSEL, CONTNO, MSNSEQ); 조인키 CONTNO/YTNO/QUEUENAME","ETW_DT=예상작업시각(계획) / ACTV_DT=활성화(발생) / UPD_DT=행 최종수정(반영·배차시각 근사) / CRE_DT=생성","폴링 90초 (wp-workpool.timer) · 행수 캡 없음","live_workpool / live_candidate","JOBSTATUS A·Q만 취득해 P(계획)·B(블록) 제외; CRE_DT 2일 창 밖 미완료 행 누락; twinkey는 live_workpool에 저장 안 됨; 캡이 없는 유일한 쿼리인데 반환 행수 실측 없음","확인","crates/extractor/sql/workpool.sql:14-38; crates/extractor/src/workpool.rs:1-10; deploy/systemd/wp-workpool.timer:5-7"
"입력","JOB_ORDER_LIST (배차된 TT 전종)","Oracle TOSADM","TOSADM.JOB_ORDER_LIST → live_assigned_tt","JOB_ODR_YTNO; JOB_ODR_JOBSTATUS; JOB_ODR_COMPDATE; CRE_DT","YTNO (DISTINCT)","CRE_DT >= TRUNC(SYSDATE)-2","폴링 90초 (wp-workpool.timer)","가동률 분자/분모","작업이 없는 유휴 트럭은 TOS에 보이지 않아 유휴 여유분 관측 불가(SQL 주석에 명시)","확인","crates/extractor/sql/assigned_tt.sql:7-13"
"입력","JOB_QUEUE_SCHEDULE (QC 작업큐 계획)","Oracle TOSADM","TOSADM.JOB_QUEUE_SCHEDULE","JOB_QUE_CRANENO/VESSEL/VOYAGE/QUEUENAME/DISLOAD/SEQ/TOTALQTY/COMPQTY/PLANQTY; DELT_FLG; UPD_DT","(qc, vessel, queuename)","UPD_DT(반영시각) · 1일 이내 미완료 또는 6시간 내 완료","폴링 90초 (wp-workpool.timer)","live_workqueue (QC별 베이 진행률)","JOB_QUE_ACTIVEYN이 실무상 NULL이라 필터 불가; queuename이 선박·항차 간 재사용돼 조인 fan-out 위험","확인","crates/extractor/sql/workqueue.sql:7-23"
"결과피드백","JOB_ORDER_HISTORY (완료 핸드오버 라벨)","Oracle TOSADM","TOSADM.JOB_ORDER_HISTORY → tos_handover_label","JOB_HIST_YTNO/ARMGC/JOBTYPE/CONTNO/POINT/SEQNO/DATE/TIME/ACTV_DT/YT_TOPOS; YT_DIS_DT; JOB_HIST_JOBSTATUS","(CONTNO, POINT, SEQNO)","JOB_HIST_DATE||TIME=완료 이벤트(발생) / YT_DIS_DT=배차 / ACTV_DT=활성화","폴링 60초 · 워터마크 증분 (wp-handover.timer) · FETCH_CAP 3000","곧빔 정답지, tt_move_log 스파인, 자가보정 학습","상한 시각 조건이 없어 워터마크가 밀리면 스캔 범위 확대; JOBSTATUS='C'만 취득; 원천 보존 약 15일이라 깊은 백필 불가; 캡 도달 경보 없음; ON CONFLICT DO NOTHING이라 후속 갱신 무시","확인","crates/extractor/src/handover.rs:43-68; crates/extractor/src/handover.rs:82-87; deploy/systemd/wp-handover.timer:5-7"
"입력","JOB_ORDER_HISTORY (K_RTG_Q 일/시간별)","Oracle TOSADM","TOSADM.JOB_ORDER_HISTORY → raw_k_crane_q / raw_k_crane_q_hour","JOB_HIST_DATE/JOBTYPE/ARMGC/VESSEL/VOYAGE/TIME; YT_DIS_DT; JOB_HIST_ACTV_DT","집계(work_date × jobtype), 시간별은 SUBSTR(TIME,1,2)","crane_q = ACTV_DT - YT_DIS_DT (0~1800초만 유효)","폴링: 야간 1회(wp-nightly) + tick-t2 20분 + shift-t2 15분","K_RTG_Q KPI","음수·30분 초과 이상치를 별도 카운트할 만큼 흔함; 오래된 날짜는 YT_DIS_DT/ACTV_DT가 희소해 0행","확인","crates/extractor/sql/c08_k_crane_q.sql:5-35; crates/extractor/sql/e5_k_crane_q_by_hour.sql:4-36"
"입력","JOB_ORDER_HISTORY (공차거리 K_EMPTY)","Oracle TOSADM","TOSADM.JOB_ORDER_HISTORY → raw_k_empty","JOB_HIST_DATE/JOBTYPE/CONTNO/POINT/SEQNO/TIME; CRNT_PSN_IDX_NO1; LNDN_TRV_RNG; UN_LNDN_TRV_RNG","(DATE, JOBTYPE, CONTNO, POINT, SEQNO)","JOB_HIST_TIME 첫 이벤트 시각으로 교대(Night/Day/Evening) 판정","폴링: 야간 + tick-t2 20분 + shift-t2 15분 (약 240K행 PK 범위스캔)","K_EMPTY / K_EMPTY_R","거리 0~5000m 밖은 통째 제외, HAVING>=50건 필터로 표본 적은 조합 소멸","확인","crates/extractor/sql/e4_k_empty_decomposition.sql:4-39"
"입력","JOB_ORDER_HISTORY (컨테이너 처리 스팬 K_CYCLE)","Oracle TOSADM","TOSADM.JOB_ORDER_HISTORY → raw_k_cycle","JOB_HIST_JOBTYPE/CONTNO/POINT/SEQNO/DATE/TIME","(JOBTYPE, CONTNO, POINT, SEQNO)","MIN~MAX(DATE||TIME) 차이 = cycle_sec","폴링: 야간 + tick-t2 + shift-t2","raw_k_cycle","TT 싸이클이 아니라 컨테이너 처리 스팬(코드 주석의 명시적 경고); transitions>1인 건만; 평균+2SD 이상치 별도 카운트","확인","crates/extractor/sql/e3b_k_cycle_refined_v2.sql:4-53"
"입력","JOB_ORDER_HISTORY (시나리오 무브 이력)","Oracle TOSADM","TOSADM.JOB_ORDER_HISTORY → scenario.move_hist","JOB_HIST_CONTNO/JOBTYPE/VESSEL/VOYAGE/ARMGC; SUBSTR(JOB_HIST_YT_TOPOS,1,40); DATE||TIME","(contno, comp_ts, jobtype)","DATE||TIME 완료 이벤트 (워터마크 하한 + now 상한)","폴링 10분 · 워터마크 증분 (wp-scenario-collect.timer) · FETCH_CAP 5000 · 킬스위치","시나리오/에뮬레이터 JSON","JOBSTATUS='C' DS/LD만 — 야드 이동(MI/MO/LC)은 시나리오에 없음; 캡 도달 시 gen_event에 warn 기록","확인","crates/scengen/src/collect.rs:66-110; crates/scengen/src/collect.rs:133-152"
"입력","MCH_OPERATION (QC 무브 스트림)","Oracle TOSADM","TOSADM.MCH_OPERATION → qc_move_log","MCH_OPER_MACHNO/CONTNO/SEQNO/JOBTYPE/COMPDATE/COMPTIME/STATUS; TRK_ID; ST_DT","(machno, contno, seqno)","ST_DT=무브 시작 / COMPDATE||COMPTIME=완료(물리 핸드오버 시점)","폴링 5분 · 워터마크 증분 (wp-qc-moves.timer) · FETCH_CAP 5000","tt_move_log, 싸이클 정답지, 핸드오버 검증","당일 COMPDATE 등가조건이라 자정 넘긴 정지는 영구 복구 불가; STATUS F/M 코드값; 캡 도달 경보 없음; 지식센터 추출 문서에 미기재","확인","crates/extractor/src/qc_moves.rs:53-65; crates/extractor/src/qc_moves.rs:59-64; kc/data/tos-extraction.html:160-180"
"입력","MCH_OPERATION (RTG/ES 무브 스트림)","Oracle TOSADM","TOSADM.MCH_OPERATION → rtg_move_log","MCH_OPER_MACHNO(LIKE 'RTG%'/'ES%')/CONTNO/SEQNO/JOBTYPE/COMPDATE/COMPTIME/STATUS; TRK_ID; ST_DT","(machno, contno, seqno)","ST_DT / COMPDATE||COMPTIME","폴링 5분 · 워터마크 증분 (wp-rtg-moves.timer, qc와 약 90초 오프셋) · FETCH_CAP 5000","rtg_move_log (야드 크레인 백로그·대기예측 피처), tt_move_log 결합","DS 핸드오버는 RTG 무브의 약 20%뿐(나머지는 리셔플/게이트); 당일 등가조건으로 자정 경계 복구 불가","확인","crates/extractor/src/rtg_moves.rs:53-65; crates/extractor/src/rtg_moves.rs:36-64"
"입력","MCH_OPERATION (야드 스택위치 디코드)","Oracle TOSADM","TOSADM.MCH_OPERATION → scenario.yard_move","MACHNO/CONTNO/SEQNO/JOBTYPE/COMPDATE/COMPTIME; CRNT_PSN_IDX_NO1~NO4","(machno, contno, seqno)","COMPDATE||COMPTIME","폴링 5분 · 워터마크 증분 (wp-scenario-yard.timer) · FETCH_CAP 8000 · 킬스위치","scenario.yard_cell 재구성","NO1=블록·NO2=베이·NO3=row(A=0)·NO4+1=tier 디코드 근거가 CYY.CLOCATION 대조 주석뿐","추정","crates/scengen/src/yard.rs:49-63"
"입력","MCH_OPERATION (K_MPH 실시간)","Oracle TOSADM","TOSADM.MCH_OPERATION → raw_k_mph_realtime","MCH_OPER_VESSEL/VOYAGE/MACHNO/JOBTYPE/COMPDATE/COMPTIME/CONTNO; TRK_ID","(vessel, voyage, qc_machno) 집계","COMPDATE 등가 + 교대 창 BETWEEN","폴링: shift-t1 3분 + tick-t1 5분 + 야간","vessel_shift 패널, K_MPH","QC 정규식 ^C[0-9]+$ 만 대상이라 M/Z 프리픽스 크레인 누락 — qc_move_time(C/M/Z)과 기준 불일치","확인","crates/extractor/sql/c07_k_mph_realtime.sql:5-25"
"입력","MCH_OPERATION (K_TT_CYCLE)","Oracle TOSADM","TOSADM.MCH_OPERATION → raw_k_tt_cycle","TRK_ID; MCH_OPER_JOBTYPE; COMPDATE||COMPTIME; MACHNO","TRK_ID별 연속 무브 간격","완료시각 간 LAG 차이 (120~1200초만 채택)","폴링: shift-t1 3분 + tick-t1 5분 + 야간","프론트 K_CYCLE","120~1200초 밖 싸이클을 잘라 중앙값이 실제보다 낮게 산출(cycle-time 과소 이슈와 연결)","확인","crates/extractor/sql/c10_k_tt_cycle.sql:8-40"
"입력","MCH_OPERATION (QC/YC 가동률)","Oracle TOSADM","TOSADM.MCH_OPERATION → raw_k_util_crane","MACHNO; ST_DT; COMPDATE||COMPTIME","machno별 병합구간","ST_DT ~ 완료 구간 병합","폴링: 야간 + shift tick (약 90K행)","K_UTIL(크레인)","machine_type을 정규식(^C=QC, RTG%=YC)으로만 판정","확인","crates/extractor/sql/e1c_k_util_crane_merged_intervals.sql:5-51"
"입력","MCH_OPERATION (QC 유휴·트럭대기 K_QC_Q)","Oracle TOSADM","TOSADM.MCH_OPERATION → raw_k_qc_q","MACHNO/VESSEL/VOYAGE/JOBTYPE/QUEUENAME; ST_DT; COMPDATE||COMPTIME","(qc, vessel, voyage) 병합구간 사이 갭","갭 = 다음 시작 - 이전 종료","폴링: shift-t1 3분(HAVING>=2) + 야간(HAVING>=10)","K_QC_NOMOVE / K_QC_TT_WAIT","같은 QUEUENAME 유지 여부로 '진짜 트럭대기'를 근사 — 베이 변경 판정이 큐명 재사용에 취약; 해치커버 과대계산 이슈","추정","crates/extractor/sql/f2_k_qc_q.sql:6-69"
"입력","MCH_OPERATION (QC 처리 cadence 학습)","Oracle TOSADM","TOSADM.MCH_OPERATION → learn_qc_move_time","MACHNO(^[CMZ][0-9]+$); JOBTYPE; COMPDATE||COMPTIME","(qc, jobtype, shift) + ALL 버킷","SYSDATE-3 ~ SYSDATE 롤링 3일창","폴링: 야간 run --kpi all 안에서만 1회","Stage-1 work-ETA 입력","날짜 키 없이 롤링이라 매일 밤 교체 — 과거 시점 재현 불가; 표본<30 조합 소멸","확인","crates/extractor/sql/qc_move_time.sql:7-32"
"입력","MCH_WORKTIME + MCH_WORKSTOP + CDY_MACHINE (TT 가동률)","Oracle TOSADM","TOSADM.MCH_WORKTIME / MCH_WORKSTOP / CDY_MACHINE → raw_k_util_tt","MCH_WORK_MACHNO/START_DT/END_DT/STARTDATE/ENDDATE; MCH_STOP_*; CDY_MCHN_CODE/CDY_MCHN_TYPE='YT'","machno","세션 시작/종료(발생) · 창 밖은 GREATEST/LEAST 클리핑","폴링: 야간 1회 (일중 tick에서는 의도적 제외)","K_UTIL(TT)","오퍼레이터 로그아웃 누락으로 세션 겹침(logout_anomaly 플래그) → 구간병합 보정; 현재 교대 K_UTIL은 Oracle 대신 Postgres util_tt_sample로 대체","확인","crates/extractor/sql/e3a_k_util_tt_merged.sql:9-93; crates/extractor/src/shift.rs:127-145"
"입력","VSS_STATISTICS (항차 공식 실적)","Oracle TOSADM","TOSADM.VSS_STATISTICS → raw_k_mph_voyage","VESSEL/VOYAGE/UP_DT/CONFIRM/STTCHK/VAN/TEU/MOVES/SIN_MOV/TWN_MOV/TND_MOV/GROSSTIME/NETTIME/ABERTHTIME/WORKQC/GQCR/NQCR/GBP/NBP","(vessel, voyage)","VSS_STT_UP_DT = 확정/반영시각 · 30일 창","폴링: 야간(k_mph_voyage) + shift-t1 3분(voyage_plan)","K_MPH(항차), 라이브 선박 진행바","진행 중 항차는 MOVES가 NULL이라 VAN을 계획분모로 대체; 숫자 컬럼이 문자형이라 TO_NUMBER ON CONVERSION ERROR 필요","확인","crates/extractor/sql/c06_k_mph_voyage.sql:5-28; crates/extractor/sql/voyage_plan.sql:5-14"
"입력","VSB_VOYAGE (선박 일정·마감 원천)","Oracle TOSADM","TOSADM.VSB_VOYAGE","VESSEL/VOYAGE/STATUS/BERTHNO/ESTBER/ESTWKC/ESTDEP/CUTOFF/ACTBER/ACTDEP/DISVAN/LOADVAN/CANCEL; BERTHSIDE; STARTPOS","(vessel, voyage)","EST*=계획 / ACT*=실적 / CUTOFF=반입마감 (DATE+TIME 문자열 결합)","폴링 90초 (wp-workpool.timer) / scengen enrich 15분","live_vessel_schedule, scenario.vessel_call","취소 항차 필터가 NVL(CANCEL,'N')='N'에 의존; ESTWKC는 별도 가드 필요","확인","crates/extractor/sql/vessel_schedule.sql:6-22; crates/scengen/src/enrich.rs:67-73"
"입력","CDV_VESSEL (선박 제원)","Oracle TOSADM","TOSADM.CDV_VESSEL → scenario.vessel_call","CDV_VSL_CODE/NAME/LENGTH/WIDTH/DRAFT/MAXTEU/TOTALBAY","CDV_VSL_CODE","없음(마스터)","폴링 15분 · 항차당 1회(신규 vessel/voyage 6건/tick 제한) · 킬스위치","시뮬 선석 span","WIDTH·MAXTEU가 실데이터에서 비는 경우 있음; 지식센터 추출 문서에 미기재","확인","crates/scengen/src/enrich.rs:64-79"
"입력","CYY_CONTAINER (현재 야드 재고)","Oracle TOSADM","TOSADM.CYY_CONTAINER → scenario.yard_snapshot / yard_block","CYY_CONT_CLOCATION; CRNT_PSN_IDX_NO1; CYY_CONT_STATUS; CYY_CONT_CONTTYPE; CYY_CONT_ISO; CYY_CONT_DISCHPORT","블록(CLOCATION 첫 토큰) 집계 약 285행","없음 — 캡처 시각(snapshot_ts)은 우리 쪽 Utc::now()","폴링 4시간 (wp-scenario-snapshot.timer) · 킬스위치","시나리오 야드 t0 상태","CYY는 TOS ETL마다 덮어쓰기 → 과거 시점 야드상태 소급 불가(앞으로만 축적); DISCHPORT='MYPKG'로 수입 판정하는 하드코딩","확인","crates/scengen/src/snapshot.rs:58-69; crates/scengen/src/snapshot.rs:1-7"
"입력","ETV_BAPLIE_CONT (양하 적부계획·컨 속성)","Oracle TOSADM","TOSADM.ETV_BAPLIE_CONT → scenario.container","CONTNO/CONTISO/FULLEMPT/CONTTYPE/CONTSTWG/GROSWGHT(MEAS_WGT)/TMPRCONT/DNGRIMDG/DNGRUNNO/DCHGPORT/ORGNPORT/CONTOPER/OVERHIGH/NEXTVESSEL/NEXTVOYAGE","(vessel, voyage, contno, disload='D')","없음(계획 문서)","폴링 15분 · 항차당 1회 · FETCH FIRST 20000 · 킬스위치","시뮬 컨테이너 속성·선박 셀","중량은 MEAS_WGT/GROSWGHT COALESCE — 두 값 불일치 시 추적 불가; 지식센터 추출 문서에 미기재","확인","crates/scengen/src/enrich.rs:108-118"
"입력","ETV_MOVINS_STOWAGE (적하 적부계획)","Oracle TOSADM","TOSADM.ETV_MOVINS_STOWAGE → scenario.container","CONTNO/CONTISO/FULLEMPT/CONTTYPE/CONTSTWG/GROSWGHT(MVNS_ORG_WGT)/TMPRCONT/DNGRIMDG/DNGRUNNO/DCHGPORT/LOADPORT/OPERATOR/OVERHIGH","(vessel, voyage, contno, disload='L')","없음(계획 문서)","폴링 15분 · 항차당 1회 · FETCH FIRST 20000 · 킬스위치","시뮬 컨테이너 속성","MOVINS는 출항 1~2일 전에야 생성되므로 최근 항차만 채워짐; 지식센터 추출 문서에 미기재","확인","crates/scengen/src/enrich.rs:119-129"
"내부상태","트럭 위치·배차상태 이력(30초 스냅샷)","WebSocket GPS 파생","truck_pos_hist","ts; ytno; lat; lon; state","(ytno, ts)","ts = 배치 틱의 Utc::now() (합성 시각)","30초 배치 INSERT · 2일 보존(120틱마다 DELETE)","dispatch_compare(T1 재구성), fair_compare, 순수 OD 모션 분할","raw fix가 아니라 30초 배치 스냅샷 — 신선도/커버리지 분석에 쓰면 과대표시; 피드 미연결 틱은 기록 자체가 없어 '트럭 없음'과 '피드 없음'이 구분되지 않음","확인","crates/api/src/livemap.rs:4623-4680; db/migrations/0059_truck_pos_hist.sql:1-12; kc/data/websocket-coverage.html:68"
"내부상태","고빈도 트럭 GPS 궤적","WebSocket GPS 파생","truck_pos_hifreq","ts; ytno; lat; lon","(ytno, ts)","ts = 3초 틱의 Utc::now()","3초 틱 · 직전 기록 대비 5m 이상 이동 시에만 · 5일 보존(200틱마다 DELETE)","도로망 추론, 혼잡 격자, tt_cycle_recon 이동/정지 분할","이동분만 기록 → 정차 구간 행 없음; 보존기간이 스크립트 주석(약 1일)과 코드·마이그레이션(5일)으로 상충","상충","crates/api/src/livemap.rs:4788-4835; db/migrations/0067_truck_pos_hifreq.sql:1-14; scripts/populate_tt_cycle_recon.sql:17-19"
"내부상태","RTG/ES 야드크레인 GPS 이력","WebSocket GPS 파생","rtg_pos_hist","ts; machno; lat; lon","(machno, ts)","ts = 3초 틱 Utc::now() (fix 자체 시각 아님)","3초 틱 · 3일 보존","RTG↔TT 핸드오버 포착 연구","정지 지터 포함(의도적); RTG GPS 40m 오프셋; RTG 보고 p50 60초라 핸드오버 타이밍에 부적합","확인","crates/api/src/livemap.rs:4686-4735; db/migrations/0086_rtg_pos_hist.sql:1-16"
"내부상태","학습된 작업지점 좌표","WebSocket ARRIVED 표본 파생","learn_topos_point","lat; lon; n; obs; spread_m; is_crane","topos","updated_at","5분 persist(spawn_learn_persist) · 기동 시 복원","거리·비용 계산, 지오펜스 기준점, 지도 오버레이","블록은 300m 아웃라이어 게이트; QC는 스프레더 진동(26m)·전시간 centroid 뭉갬(185m) 때문에 안벽 PCA 투영 보정 필수","확인","db/migrations/0026_learn_topos.sql:1-25; crates/api/src/main.rs:113; crates/api/src/livemap.rs:396-410"
"내부상태","도로망 그래프·비용 학습곡선","Postgres (외부 재구성 스크립트)","road_node / road_edge / road_route_eval","id,lat,lon / from_id,to_id,len_m,speed_kmh,oneway / route_time_s,manh_m,actual_s,jobtype,snapped","node id; edge (from,to)","road_route_eval.ts (최근 14일 창)","그래프는 매시 crontab의 reinfer_roadgraph.sh [호스트] · 곡선은 매 tick RouteCost::load · road_route_eval 60일 보존","Stage-2 비용, dispatch_compare, fair_compare","노드 id가 매 빌드 재번호되어 REPEATABLE READ 스냅샷 필수; 그래프 부재 시 전량 L3 폴백; 스케줄 정의가 저장소에 없고 crontab 라인에 평문 DB 비밀번호 포함","확인","crates/api/src/roadgraph.rs:47-92; crates/api/src/roadgraph.rs:360-382; scripts/reinfer_roadgraph.sh:1-10"
"내부상태","곧빔 잔여시간 학습값","Postgres MV","learn_free_in_bias / learn_free_in_stationary / learn_soon_idle_gate","state; jobtype; dist_bin; med_rem_s; n / med_s; p90_s / gate_m","(state, jobtype, dist_bin) 등","MV 재계산 시각","spawn_selfcal_refresh 900초","Stage-2 후보 차량의 time-to-free","n 임계(50/100/200) 미달 시 상수 폴백, 값은 30~3600초 클램프; MV 갱신이 멈추면 조용히 상수로 회귀","확인","crates/api/src/livemap.rs:4129-4162; crates/api/src/livemap.rs:4243-4271; db/migrations/0084_soon_idle_selfcal.sql:1-40"
"내부상태","작업-ETA 잔차 자가보정","Postgres MV","learn_work_eta_bias","qc; jobtype; n; med_err_s","(qc, jobtype)","7일 창","dispatch_pred_logger tick%10 (약 20분)","build_workpool의 work_eta_ts","n<30(전역행 100) 무시, -900~+1800초 클램프","확인","crates/api/src/workpool.rs:349-368; crates/api/src/workpool.rs:761-766"
"내부상태","scengen 킬스위치·튜닝","Postgres (scenario 스키마)","scenario.config (singleton id=1)","enabled; chunk_minutes; offpeak_only; offpeak_start_h/end_h; oracle_timeout_s; retention_days","id=1","updated_at","매 틱 시작 시 read · POST /api/scenario/config 로 write","scengen collect/enrich/snapshot/yard, GET /api/scenario/status","쓰기 엔드포인트가 0.0.0.0:8899에 인증 없이 노출; enabled 기본값 true라 마이그레이션 적용만으로 수집 시작","확인","db/migrations/0093_scenario.sql:11-24; crates/scengen/src/state.rs:9-38; crates/scengen/src/serve.rs:33-44"
