id,area,statement,status,confidence,evidence,risk,source_track
"RT-11","스케줄 인벤토리(핵심 ETL)","저장소 타이머 주기는 wp-nightly 매일 01:30, wp-tick-t1 5분, wp-tick-t2 20분, wp-shift-t1 3분, wp-shift-t2 15분, wp-workpool 90초, wp-handover 60초, wp-rtg-moves/wp-qc-moves 각 5분(90초 오프셋), wp-weather 1시간, wp-weather-live 3분이다.","확인","높음","deploy/systemd/wp-nightly.timer:1-10; deploy/systemd/wp-workpool.timer:1-11; deploy/systemd/wp-handover.timer:1-11; deploy/systemd/wp-qc-moves.timer:1-11; deploy/systemd/wp-shift-t1.timer:1-11","호스트에서 wp-tick-t1·wp-tick-t2는 미설치이므로 저장소 세트와 실제 가동 세트가 다르다 [호스트]","runtime"
"RT-12","스케줄 인벤토리(Postgres 전용)","tt_move_log(5분)와 tt_cycle_recon(10분)은 Rust 바이너리가 아니라 psql로 scripts/populate_*.sql을 실행하는 유닛이며 Oracle을 건드리지 않는다.","확인","높음","deploy/systemd/wp-tt-move-log.service:1-13; deploy/systemd/wp-tt-cycle-recon.service:1-14; deploy/systemd/wp-tt-move-log.timer:1-11","psql 유닛은 DATABASE_URL을 커맨드라인에 노출하고, SQL 파일 변경이 빌드 없이 즉시 운영 반영되므로 미커밋 변경이 배포본과 어긋날 수 있다","runtime"
"RT-13","scengen 격리·킬스위치","scengen 계열 6개 유닛(collect 10분·yard-moves 5분·yard-build 10분·snapshot 4시간·enrich 15분·serve 상주)은 Nice=19이고 collect/enrich/snapshot/yard는 매 틱 scenario.config.enabled 킬스위치를 읽어 꺼져 있으면 즉시 반환한다.","확인","높음","crates/scengen/src/collect.rs:37-42; crates/scengen/src/state.rs:9-38; db/migrations/0093_scenario.sql:11-23; deploy/systemd/wp-scenario-collect.service:1-10","킬스위치 기본값이 true라 마이그레이션 적용만으로 수집이 켜진다","runtime"
"RT-14","scengen 제어면","scengen serve는 포트 8899에서 자체 웹 UI와 /api/scenario/status·runs·download/:kind·config(POST)를 제공하며 config POST가 scenario.config.enabled를 UPDATE하는 유일한 런타임 제어 경로다.","확인","높음","crates/scengen/src/serve.rs:34-38; crates/scengen/src/serve.rs:117-128; deploy/systemd/wp-scenario-web.service:1-14","포트에 인증 로직이 코드상 없어 접근 가능한 누구나 수집을 켜고 끌 수 있다(네트워크 경계에만 의존)","runtime"
"RT-15","재시작 정책","저장소에 정의된 상주 유닛은 wp-scenario-web(Restart=on-failure/5s)과 wp-ws-bridge(Restart=always/5s) 둘뿐이고 나머지 추출 유닛은 Type=oneshot이라 실패 시 재시도 없이 다음 주기를 기다린다. [호스트] 실제로는 wp-api(always/3s)·wp-etw-bridge(always/5s)도 상주한다.","확인","높음","deploy/systemd/wp-scenario-web.service:6-12; deploy/systemd/wp-ws-bridge.service:1-25; deploy/systemd/wp-handover.service:1-10","oneshot 실패가 조용히 누적돼도 알람이 없다(OnFailure= 0건)","runtime"
"RT-16","GPS 피드 경로","라이브 GPS는 wp-ws-bridge 유닛이 SSH -L로 127.0.0.1:9986 로컬 포워딩을 열고 api 프로세스가 그 위의 평문 ws://에 붙는 구조다(대상 호스트/IP는 <redacted>).","확인","높음","deploy/systemd/wp-ws-bridge.service:1-25; crates/api/Cargo.toml:22-24","SSH 터널이 단일 장애점이며 TLS 없이 로컬 터널 신뢰에 의존한다","runtime"
"RT-17","환경변수 목록","환경변수 키는 .env.example의 DATABASE_URL·SKILL_DIR·API_ADDR 3개가 기준이나 실제 .env에는 ETW_GATEWAY_URL·TOMORROW_API_KEY가 추가돼 있고 코드에는 KC_DIR·WEB_DIST도 선택적으로 쓰인다(값은 모두 <redacted>).","상충","높음",".env.example:1-10; crates/extractor/src/workpool.rs:114-124; crates/api/src/main.rs:88-101; deploy/systemd/README.md:55-57",".env.example이 실운영 키 2개를 누락해 신규 환경 구축 시 ETW·실시간 날씨가 조용히 기본값으로 떨어진다","runtime"
"RT-18","기능 플래그 부재","배차 로직을 켜고 끄는 환경변수/피처 플래그는 존재하지 않으며 저장소에서 확인되는 런타임 스위치는 scenario.config.enabled 하나뿐이다. 그림자 로거들은 api가 뜨면 무조건 돈다.","확인","높음","crates/api/src/main.rs:116-140; crates/scengen/src/state.rs:9-20; kc/dispatch/stage2-rollout.html","그림자 계산 부하를 끄려면 api 전체를 내려야 하며, Live 단계 요구사항인 '즉시 끄기 스위치'가 아직 코드에 없다","runtime"
"RT-19","CI/CD·컨테이너","저장소에 .github/workflows·Jenkinsfile·Dockerfile·docker-compose·k8s manifest·terraform·ansible이 전혀 없다. 컨테이너는 로컬 개발용 deploy/dev-db.sh(rootless podman, postgres:17)뿐이다.","확인","높음","deploy/dev-db.sh:1-40; deploy/systemd/README.md:19-38","자동 빌드·테스트·배포·롤백이 없어 배포된 바이너리와 커밋 대응을 사후 추적할 수단이 없다","runtime"
"RT-20","시험","백엔드 테스트는 crates/extractor/tests의 통합 테스트 3개(upsert_pg·transform_pg·rollup_pg)와 KPI 모듈 인라인 단위 테스트(#[cfg(test)] 17파일)이며, 통합 테스트는 DATABASE_URL이 없으면 스킵되고 Oracle에는 접속하지 않는다(골든 픽스처).","확인","높음","crates/extractor/tests/upsert_pg.rs:1-22; crates/extractor/tests/transform_pg.rs:1-16; crates/extractor/tests/rollup_pg.rs:1-6","DATABASE_URL 미설정 시 통합 테스트가 조용히 통과 처리되므로 CI 없는 현재 구조에서 회귀가 잡히지 않을 수 있다","runtime"
"RT-21","API 서비스 유닛 누락","deploy/systemd에 wp-api용 유닛 파일이 없는데 지식센터 문서는 systemctl --user restart wp-api.service로 API를 재기동한다고 기술한다. [호스트] 해당 유닛은 호스트에만 존재하며 enabled + active 상태다.","상충","높음","deploy/systemd/; kc/reference/references.html:32-33","배차 그림자를 실제로 돌리는 프로세스의 유닛 정의가 형상관리 밖에 있어 호스트 재구축 시 재현 불가","runtime"
"RT-22","마이그레이션 관리","db/migrations는 104개 파일이며 0098 번호가 0098_scenario_yard_block.sql과 0098_tt_cycle_recon.sql 두 개로 중복돼 있고, db/apply.sh는 파일명 글로브 순서로 psql을 순차 실행할 뿐 적용 이력 테이블이 없다.","확인","높음","db/migrations/0098_scenario_yard_block.sql; db/migrations/0098_tt_cycle_recon.sql; db/apply.sh:1-20","번호 충돌이 병합 시 적용 순서 혼선을 부르고, 이력 테이블이 없어 어느 환경에 어디까지 적용됐는지 알 수 없다","runtime"
"RT-23","개발 흐름(최근 커밋)","최근 40개 커밋은 배차 알고리즘 자체보다 scengen 시나리오/에뮬레이터 신설, 싸이클 정의 재정립(tt_move_log·tt_cycle_recon), 지식센터 정적HTML 이관, 장애 표시에 집중돼 있다.","확인","높음","git log --oneline -40 (HEAD 10cc8c0)","","runtime"
"RT-24","워킹트리 상태","브랜치 scengen-collector의 HEAD는 10cc8c0이며 미커밋 변경은 5건이다(crates/api/src/cycles.rs, scripts/populate_tt_cycle_recon.sql, web/public/livemap-roadgraph.geojson, web/src/CyclesPage.tsx, web/src/api.ts).","확인","높음","git status; deploy/systemd/wp-tt-cycle-recon.service:10-12","populate_tt_cycle_recon.sql은 systemd 유닛이 파일 경로 그대로 실행하므로 미커밋 SQL이 이미 운영 타이머에서 돌고 있을 수 있다","runtime"
"RT-25","프론트 운영모드 표시","프론트는 라이브맵을 live/stale/replay 3모드로 구분해 피드 중단 시 캔 리플레이 대신 정지 오버레이를 띄우고, 전역 OutageBanner로 피드 장애를 표시한다.","확인","높음","web/src/LiveMapPage.tsx:1070-1130; web/src/App.tsx:100-110; web/src/App.tsx:703","replay 모드는 정적 캡처(web/public/livemap-replay.json)라 시연과 실운영 화면이 시각적으로 유사할 수 있다","runtime"
"RT-26","TODO·미완 표식","소스 전반에서 TODO/FIXME/HACK/XXX 주석은 1건(scengen assemble의 hatch/bay_change/drive 미구현 메모)뿐이며 배차·TOS 연동 관련 TODO 주석은 없다.","확인","중간","crates/scengen/src/assemble.rs:160; kc/start/launch-plan.html","미완 항목이 코드가 아니라 kc 계획서에만 기록돼 있어 코드만 보면 잔여 작업 규모가 과소평가된다","runtime"
"MT-01","트리거·주기","TT×작업 매칭 본체는 systemd 타이머가 아니라 wp-api 프로세스 내부의 tokio 태스크 spawn_stage2_shadow이며 60초 인터벌로 돈다(등록은 조건 없는 spawn).","확인","높음","crates/api/src/livemap.rs:4173-4182; crates/api/src/main.rs:132","매칭이 API 프로세스 수명에 묶여 있고 저장소에는 이 프로세스를 정의한 유닛 파일이 없다(호스트에만 존재)","matching"
"MT-02","입력 갱신 주기","매칭 입력인 TOS 작업풀 스냅샷(live_workpool·live_candidate·live_workqueue·live_vessel_schedule)은 별도 프로세스 extractor가 systemd 타이머 wp-workpool로 90초마다 Oracle에서 갱신한다.","확인","높음","deploy/systemd/wp-workpool.timer:1-9; deploy/systemd/wp-workpool.service:8; crates/extractor/src/workpool.rs:92-108","매칭 tick(60초)과 데이터 갱신(90초)이 비동기라 같은 작업 스냅샷으로 여러 번 매칭이 돌 수 있다","matching"
"MT-03","TT 후보 Pool","TT 상태는 TOS가 아니라 GPS 웹소켓 필드만으로 classify_tt에서 판정되며 idle/staging/empty_travel/delivering/soon_idle/wait_rtg 6개 상태를 반환한다.","확인","높음","crates/api/src/livemap.rs:915-1024; crates/api/src/livemap.rs:789-800","TOS 작업풀이 실시간 판정 경로에서 제외되어 GPS 침묵·필드 결측이 곧 후보 누락으로 직결된다","matching"
"MT-04","TT 후보 Pool","Stage-2 후보 차량은 idle(잔여 0초) + soon_idle/wait_rtg(학습된 잔여초) + 침묵 상태로 드롭지점 120m 내에 멈춰 있는 적재 트럭(최대 1200초 홀드)이며 delivering/empty_travel/staging은 제외된다(코드의 approaching 분기는 classify_tt가 반환하지 않는 죽은 분기).","확인","높음","crates/api/src/livemap.rs:4199-4277; crates/api/src/livemap.rs:4166-4171","운반 중(delivering) 트럭을 후보에서 빼므로 선제 예약 범위가 최종단계 트럭으로 한정된다","matching"
"MT-05","TT 후보 Pool","'곧 유휴' 잔여시간은 하드코딩 상수가 아니라 학습값 우선순위(learn_free_in_stationary → learn_free_in_bias[state×jobtype×RTG거리bin] → 동 state×jobtype 전역 → free_in 상수)로 결정되고 30~3600초로 클램프된다.","확인","높음","crates/api/src/livemap.rs:4243-4271; crates/api/src/livemap.rs:1026-1036; crates/api/src/livemap.rs:4129-4162","학습 MV 갱신이 멈추면 조용히 상수로 되돌아가 비용이 편향된다","matching"
"MT-06","TT 후보 Pool","DS의 soon_idle 판정 게이트(RTG 근접거리)는 전역 SOON_IDLE_GATE_MM에 담긴 학습값으로 기본 50m이며 30~90m 범위로 15분마다 갱신된다.","확인","높음","crates/api/src/livemap.rs:769-770; crates/api/src/livemap.rs:4156-4161; db/migrations/0084_soon_idle_selfcal.sql:1-40","","matching"
"MT-07","재배차(swap)","재배차 가능(swappable) 판정은 classify_tt에서 empty_travel 트럭에 대해서만 계산되며(픽업지까지 잔여거리 >= SWAP_MIN_M=500m), Stage-2 매칭은 이 값을 전혀 쓰지 않는다(empty_travel 자체가 후보에서 제외되기 때문).","확인","높음","crates/api/src/livemap.rs:948-970; crates/api/src/livemap.rs:4242-4272","표시용 스왑 지표와 실제 매칭 후보군이 불일치 — '스왑 가능'으로 보이는 트럭이 매칭 대상이 아니다","matching"
"MT-08","작업 후보 Pool","작업 후보는 JOB_ORDER_LIST에서 JOBSTATUS='Q'이고 YTNO가 빈 행(진짜 미배차)만 골라 DS는 (큐,선박) 단위·LD는 소스 블록(YT_TOPOS prefix) 단위로 집계한 live_candidate 버킷이며 트윈(twinkey 동일)은 1대 수요로 합산된다.","확인","높음","crates/extractor/sql/workpool.sql:14-38; crates/extractor/src/workpool.rs:306-336; db/migrations/0013_candidate.sql:1-21","CRE_DT 2일·COMPDATE null 필터에 걸리지 않는 작업과 JOBSTATUS P/B 행은 후보에서 통째로 빠진다","matching"
"MT-09","작업 정렬·긴급도","Stage-1 작업 정렬은 (1) qc_wait_qc_sample에서 최근 90초 내 starving인 QC 우선, (2) work-ETA(마감) 빠른 순이며 긴급도는 비용행렬에 들어가지 않는다.","확인","높음","crates/api/src/livemap.rs:4192-4197; crates/api/src/livemap.rs:4325-4333; crates/api/src/livemap.rs:3823-3825","starving 신호가 끊기면 매칭은 조용히 순수 마감순으로만 동작한다","matching"
"MT-10","작업 상한","크레인당 수요 상한은 NEED_HORIZON_S(900초)÷move시간(DS 90초/LD 110초, 최소 1)으로 버킷 수요에 반영되고 작업풀은 후보 트럭 수만큼 절단된다(엄밀히는 유지 버킷 개수가 트럭 수 이하이며, acc>=truck_n 검사가 가산 전이라 슬롯 합계는 마지막 버킷만큼 초과 가능).","확인","높음","crates/api/src/livemap.rs:3826-3831; crates/api/src/livemap.rs:4334-4366; crates/api/src/workpool.rs:332-348","DS_MOVE_S/LD_MOVE_S가 하드코딩이라 실제 크레인 생산성(learn_qc_move_time)과 다른 값으로 상한이 잡힌다(이중 기준)","matching"
"MT-11","작업 가능성(feasibility)","Feasibility는 후보 배제 조건이 아니라 사후 라벨이다 — 버킷 마감 대비 p90 도착이 늦으면 feasible=false와 음수 slack으로 기록될 뿐 그 매칭은 그대로 채택(기록)된다.","확인","높음","crates/api/src/livemap.rs:4384-4386; crates/api/src/livemap.rs:4452-4474","실 배차로 승격 시 마감 위반 매칭이 필터 없이 나갈 수 있다","matching"
"MT-12","크레인 작업순서","크레인 작업 순서 자체에 대한 별도 실행가능성 검사는 없고, 순서 정보는 live_workqueue의 seq와 진행률로부터 work-ETA를 만들어 마감으로 환산하는 방식으로만 반영된다.","확인","중간","crates/api/src/workpool.rs:408-489; crates/api/src/workpool.rs:380-399","큐 seq가 재계획되면 work-ETA 전체가 흔들리며 코드 주석도 원거리 예측의 한계를 명시한다","matching"
"MT-13","거리·비용","OD 비용은 WGS84 좌표를 쓰되 추론 도로망 위 방향성 Dijkstra 경로시간을 road_route_eval 실측 학습곡선(DS/LD 분리)에 매핑한 초 단위 (p50,p90)이며, 라우팅 실패 시 안벽축 회전 맨해튼(29.8°)→같은 학습곡선→SEG_SPEED_MS=3.30 m/s 순으로 폴백한다(225m 격자는 mig 0082에서 폐기).","확인","높음","crates/api/src/livemap.rs:4304-4324; crates/api/src/livemap.rs:3833-3853; crates/api/src/roadgraph.rs:304-420","도로망 그래프는 매시 crontab의 reinfer_roadgraph.sh가 재구성하는데 그 스케줄 정의가 저장소에 없다 [호스트]","matching"
"MT-14","목적함수","엣지 비용 = (트럭이 빌 때까지 잔여초) + (픽업지까지 공차 이동 p50초) + 전환 페널티이며, 적재 후 납품 구간·긴급도·기아·부하분산 항은 목적함수에 없다.","확인","높음","crates/api/src/livemap.rs:4389-4412; crates/api/src/livemap.rs:3823-3825","","matching"
"MT-15","목적함수 상수","안티스래싱 상수는 소스에 하드코딩되어 있다: SWITCH_PENALTY_S=180초, COMMIT_WINDOW_MS=600000, COMMIT_LOCK_S=1200초이며 arr>=1800초 엣지는 사전 제거된다.","확인","높음","crates/api/src/livemap.rs:3817-3822; crates/api/src/livemap.rs:4398-4410","설정파일·DB가 아닌 소스 상수라 튜닝에 재빌드가 필요하다","matching"
"MT-16","해 선택 알고리즘","기록되는 추천 해는 탐욕이 아니라 자체 구현 min-cost max-flow(SPFA 연속최단경로 Mcmf, 외부 솔버 라이브러리 없음)의 최적해이나, 이는 라이브 배차를 구동하지 않는 그림자 추천이고 최적성도 arr<1800초로 프루닝된 부분그래프·Stage-1에서 절단된 작업풀 기준이다. greedy는 같은 tick에서 gap 측정용 베이스라인으로 병행 계산된다.","확인","높음","crates/api/src/livemap.rs:3855-3966; crates/api/src/livemap.rs:4415-4448; crates/api/src/livemap.rs:4407-4409; crates/api/src/livemap.rs:3968-3972; crates/api/Cargo.toml:11-26","동점(tie) 처리 규칙이 명시되어 있지 않아 최적해가 여러 개일 때 어떤 트럭이 뽑히는지는 엣지 삽입 순서에 의존한다","matching"
"MT-17","중복 배정 방지","동일 TT 중복 배정은 흐름망 source→트럭 엣지 용량 1로, 동일 작업 초과 배정은 버킷→sink 용량=Stage-1 상한으로 구조적으로 차단된다.","확인","높음","crates/api/src/livemap.rs:3939-3953; crates/api/src/livemap.rs:4184-4191","tick 간 예약 상태는 유지되지 않는다 — 다음 tick은 직전 150초 행을 읽어 전환 페널티에만 쓴다","matching"
"MT-18","상태 전이·예약","Assignment/Reservation/Swap을 관리하는 영속 상태 머신은 없다 — 매 tick 무상태로 전량 재매칭하고 기존 배차 보호는 전환 페널티·커밋 잠금이라는 소프트 비용으로만 구현된다.","확인","높음","crates/api/src/livemap.rs:4396-4406; crates/api/src/livemap.rs:4447-4448","실 배차 승격 시 '이미 출발한 트럭'을 하드하게 보호하는 장치가 없다(비용이 충분히 크면 뒤집힘)","matching"
"MT-19","타임아웃·불완전 결과","Stage-2 매처에는 최적화 타임아웃·반복 상한·부분해 처리 코드가 없으며 규모 제한은 1800초 프루닝과 Stage-1 절단뿐이다(fair_compare만 MAX_N=120).","확인","중간","crates/api/src/livemap.rs:4407-4410; crates/api/src/livemap.rs:4842-4844","대형 tick에서 SPFA MCMF가 길어져도 이를 감지·중단하는 장치가 없다","matching"
"MT-20","Shadow 여부","매칭 결과는 stage2_match_shadow(추천 1건당 1행)와 stage2_solver_shadow(그리디 대비 gap)에 기록될 뿐이며 저장소 전체에 TOSADM으로 쓰기를 하는 SQL은 없다.","확인","높음","crates/api/src/livemap.rs:4465-4484; db/migrations/0052_stage2_match_shadow.sql:1-5; crates/extractor/sql/workpool.sql:14-38","","matching"
"MT-21","Shadow 결과 소비","추천은 /api/stage2/advisory·shadow와 /api/health/dispatch로 노출되어 프론트(TtPage의 '우리 픽', LiveMapPage 작업지점)에 표시되며 표시 대상은 최신 tick 1건뿐이다.","확인","높음","crates/api/src/workpool.rs:951-961; crates/api/src/main.rs:57-64; web/src/TtPage.tsx:265-280","운영자에게 권고를 보여주는 Recommendation 단계이므로 사람이 따라할 여지는 있으나 시스템 자동 실행은 아니다","matching"
"MT-22","KPI·평가","dispatch_compare_shadow는 TOS가 방금 배차한 개별 작업 1건에 대해 배차 시각 T1의 트럭 위치 스냅샷으로 우리가 고를 최근접 가용 트럭과 TOS 트럭의 도착시간을 비교한다(작업별 독립).","확인","높음","crates/api/src/livemap.rs:4493-4620; db/migrations/0058_dispatch_compare_shadow.sql:1-19","예약 충돌을 무시하므로 우리 우위를 과대평가한다(코드 주석도 optimistic으로 명시)","matching"
"MT-23","KPI·평가","fair_compare_shadow는 5분마다 최근 15분 TOS 배차결정을 60초 버킷으로 묶어 각 버킷에서 트럭↔작업 1:1 완전매칭(MCMF)을 풀고 TOS 대각합 대비 절감률을 기록하며 쌍별 상세는 fair_compare_detail에 적재한다.","확인","높음","crates/api/src/livemap.rs:4836-5005; db/migrations/0061_fair_compare_shadow.sql:1-13; db/migrations/0064_fair_compare_detail.sql:1-20","","matching"
"MT-24","코드 사양 불일치","차량 상태 'approaching'은 free_in 상수표·free_in_bias 조회·후보 필터에 등장하지만 classify_tt가 이 문자열을 반환하는 코드 경로가 없다.","확인","중간","crates/api/src/livemap.rs:915-1024; crates/api/src/livemap.rs:4248-4257; crates/api/src/livemap.rs:1030","해당 학습 버킷·분기가 실시간 경로에서는 사실상 죽은 코드 — 문서·인수인계에서 실제보다 넓은 후보군으로 오해될 수 있다","matching"
"MT-25","배포 정의","매칭을 실제로 구동하는 wp-api.service는 KC 문서에는 운영 명령으로 등장하지만 deploy/systemd 디렉터리에는 유닛 파일이 없다. [호스트] 유닛은 호스트에만 존재하며 enabled + active다.","상충","높음","deploy/systemd/; kc/reference/references.html:32","배차 엔진 프로세스의 기동·재시작 정의가 저장소 밖에 있어 재현·이관 시 누락 위험","matching"
"MT-26","시험 수준","매칭 로직(optimal_assign·Mcmf·classify_tt·비용 계산)에 대한 단위·회귀 테스트는 저장소에 없다 — API 크레이트의 #[cfg(test)] 모듈은 periods.rs 하나뿐이다.","확인","높음","crates/api/src/periods.rs:132; crates/extractor/src/workpool.rs:366-392","솔버 정확성·엣지케이스가 코드 리뷰와 그림자 지표에만 의존한다","matching"
"MT-27","구현 상태 판정","매칭 트랙의 구현 상태는 'Shadow 운영 + 운영자 대상 Recommendation 표시'이며 실제 배차 실행(Live)은 코드상 존재하지 않는다.","확인","높음","crates/api/src/livemap.rs:3968-3972; crates/api/src/workpool.rs:935-936; crates/api/src/main.rs:1-3","견적·일정에서 '배차 로직 완성'과 '실행 연동'을 반드시 분리해야 한다 — 실행 연동은 0에서 시작한다","matching"
"OR-01","Oracle 접근 방식","Oracle 접근은 JDBC/OCI 직결이나 CDC/Kafka가 아니라 외부 스크립트 remote-toolbox-sql을 자식 프로세스로 실행하는 폴링 단일 방식이며 SQL은 임시파일(--file)로 전달된다.","확인","높음","crates/extractor/src/runner.rs:1-72; crates/scengen/src/toolbox.rs:1-74; .env.example:1-6","SKILL_DIR 외부 스크립트 의존 — 없으면 전 추출이 즉시 실패하고 접속 자격증명·DSN이 저장소 밖이라 접속 계층이 블랙박스다","oracle"
"OR-02","쓰기 여부","Oracle에 쓰기(INSERT/UPDATE/DELETE/MERGE/프로시저 호출)를 하는 코드는 저장소 전체에 존재하지 않는다(유일한 COMMIT 히트는 로컬 Postgres 대상).","확인","높음","crates/extractor/sql/; README.md:9-11; scripts/reinfer_roadgraph.sh:235","","oracle"
"OR-03","동시성·부하 제어","Oracle 호출은 프로세스 내 전역 async Mutex로 직렬화되고, scengen은 별도 바이너리이지만 같은 스크립트를 공유해 프로세스 간에도 직렬화된다고 주석에 기재돼 있다(스크립트가 저장소에 없어 검증 불가).","추정","중간","crates/extractor/src/runner.rs:9-10; crates/scengen/src/toolbox.rs:1-13","프로세스 간 직렬화의 실체가 저장소 밖 스크립트에 있어 extractor·scengen 타이머가 겹치면 동시 세션 2개가 뜰 수 있다","oracle"
"OR-04","테이블 인벤토리","읽는 Oracle 객체는 TOSADM 스키마 13종이며 가장 무거운 두 축은 JOB_ORDER_HISTORY(7개 쿼리)와 MCH_OPERATION(9개 쿼리)이다.","확인","높음","crates/extractor/sql/; crates/scengen/src/enrich.rs:64-129; crates/scengen/src/snapshot.rs:60-69","","oracle"
"OR-05","시각 컬럼 형식","TOS의 시각 컬럼은 DATE형이 아니라 대부분 VARCHAR 'YYYYMMDD'+'HH24MISS' 조합이며 문자열 사전순 비교로 인덱스 안전하게 범위 스캔한다.","확인","높음","crates/extractor/src/params.rs:27-44; crates/extractor/sql/c10_k_tt_cycle.sql:17-19; crates/extractor/src/workpool.rs:80-88","COMPTIME 길이·값 이상이 실제로 존재해 SQL마다 방어 필터가 들어가 있다 — 원천 데이터 품질이 문자열 수준에서 깨져 있다는 신호","oracle"
"OR-06","시각 의미 구분","업무 발생시각(YT_DIS_DT=배차, ACTV_DT=활성화, JOB_HIST_DATE||TIME=완료, MCH_OPER_ST_DT/COMPTIME)과 반영시각(UPD_DT, VSS_STT_UP_DT)이 코드에서 명시적으로 구분돼 쓰인다.","확인","높음","crates/extractor/sql/workpool.sql:23-25; crates/extractor/sql/c08_k_crane_q.sql:9-13; crates/extractor/src/handover.rs:29-33","live_workpool.upd_ts는 '행 최종수정 ≈ 배차시각'이라는 근사라서 TOS가 다른 이유로 행을 갱신하면 배차시각이 오염된다","oracle"
